Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_130-1	2020/02/06 04:54:55	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.929' N	057° 14.744' W	5004	1	175.9	83.0	11.1	02	801
M161_130-1	2020/02/06 05:13:37	CTD	CTD	on deck				started	14° 04.927' N	057° 14.744' W	5004	0	189.3	80.0	10.5	02	0
M161_131-1	2020/02/06 06:32:23	CTD	CTD	in the water			W2, clean ship	started	14° 04.928' N	057° 14.744' W	5005	1	7.1	76.0	13.8	02	0
M161_131-1	2020/02/06 06:53:08	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.926' N	057° 14.745' W	5004	1	158.9	76.0	10.2	02	800
M161_131-1	2020/02/06 07:11:09	CTD	CTD	on deck				started	14° 04.929' N	057° 14.745' W	5003	1	77.6	82.0	12.0	02	0
M161_132-1	2020/02/06 08:34:04	CTD	CTD	in the water			W2, clean ship	started	14° 04.927' N	057° 14.745' W	5005	1	309.1	81.0	11.9	02	0
M161_132-1	2020/02/06 08:52:45	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.927' N	057° 14.745' W	5005	1	356.8	84.0	12.0	02	800
M161_132-1	2020/02/06 09:09:50	CTD	CTD	on deck				started	14° 04.928' N	057° 14.744' W	5005	1	194.1	84.0	12.3	02	0
M161_133-1	2020/02/06 10:41:28	CTD	CTD	in the water			W2, clean ship	started	14° 04.927' N	057° 14.745' W	5006	1	259.0	83.0	11.7	02	0
M161_133-1	2020/02/06 10:59:25	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.928' N	057° 14.745' W	5004	0	261.6	72.0	13.0	02	800
M161_133-1	2020/02/06 11:16:04	CTD	CTD	on deck				started	14° 04.927' N	057° 14.745' W	5003	1	219.7	73.0	12.9	02	0
M161_134-1	2020/02/06 12:31:48	CTD	CTD	in the water			W2, clean ship	started	14° 04.927' N	057° 14.744' W	5005	1	21.4	73.0	12.0	02	2
M161_134-1	2020/02/06 12:51:32	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.929' N	057° 14.743' W	5004	1	207.2	73.0	11.8	02	800
M161_134-1	2020/02/06 13:10:16	CTD	CTD	on deck				started	14° 04.927' N	057° 14.743' W	5003	1	62.9	81.0	13.1	02	0
M161_135-1	2020/02/06 14:32:11	CTD	CTD	in the water			W2, clean ship	started	14° 04.932' N	057° 14.745' W	5009	2	170.6	84.0	13.2	02	0
M161_135-1	2020/02/06 14:53:12	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.927' N	057° 14.743' W	5004	1	127.9	91.0	12.0	02	800
M161_135-1	2020/02/06 15:13:58	CTD	CTD	on deck				started	14° 04.931' N	057° 14.746' W	5004	1	204.3	90.0	10.4	02	0
M161_136-1	2020/02/06 16:30:01	CTD	CTD	in the water			W2, clean ship	started	14° 04.931' N	057° 14.745' W	5003	1	27.6	77.0	11.0	02	0
M161_136-1	2020/02/06 16:48:46	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.933' N	057° 14.745' W	5006	0	138.6	85.0	11.4	02	800
M161_136-1	2020/02/06 17:07:19	CTD	CTD	on deck				started	14° 04.933' N	057° 14.746' W	5006	1	184.4	85.0	10.9	02	0
M161_137-1	2020/02/06 18:15:25	CTD	CTD	in the water			W2, clean ship	started	14° 04.932' N	057° 14.744' W	5003	1	287.1	86.0	11.2	02	0
M161_137-1	2020/02/06 18:34:33	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 04.931' N	057° 14.745' W	5004	1	37.7	83.0	10.2	02	800
M161_137-1	2020/02/06 18:54:49	CTD	CTD	on deck				started	14° 04.932' N	057° 14.744' W	5002	0	137.0	83.0	10.2	02	0
M161_138-1	2020/02/06 22:38:36	CTD	CTD	information			W2, clean ship	started	13° 35.666' N	057° 14.801' W	4827	1	37.0	68.0	12.0	02	0
M161_138-1	2020/02/06 22:56:33	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 35.666' N	057° 14.798' W	4827	1	197.1	76.0	11.0	02	800
M161_138-1	2020/02/06 23:13:24	CTD	CTD	on deck				started	13° 35.665' N	057° 14.800' W	4825	0	332.8	73.0	11.8	02	0
M161_139-1	2020/02/07 02:01:24	CTD	CTD	in the water			W2, clean ship	started	13° 18.012' N	057° 14.726' W	4952	0	312.2	75.0	11.2	02	0
M161_139-1	2020/02/07 02:18:38	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 18.009' N	057° 14.725' W	4952	0	115.4	86.0	11.3	02	800
M161_139-1	2020/02/07 02:33:58	CTD	CTD	on deck				started	13° 18.008' N	057° 14.726' W	4951	1	237.4	82.0	11.3	02	0
M161_140-1	2020/02/07 05:05:58	CTD	CTD	in the water			W2, clean ship	started	12° 58.033' N	057° 14.762' W	4660	1	247.6	80.0	12.5	02	0
M161_140-1	2020/02/07 05:24:34	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 58.030' N	057° 14.761' W	4659	0	213.2	78.0	13.7	02	800
