Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_140-1	2020/02/07 06:02:47	CTD	CTD	on deck				started	12° 58.031' N	057° 14.761' W	4658	0	261.5	81.0	11.7	02	0
M161_141-1	2020/02/07 07:25:22	CTD	CTD	in the water			W2, clean ship	started	12° 58.031' N	057° 14.761' W	4659	0	44.7	64.0	14.2	02	0
M161_141-1	2020/02/07 07:35:08	CTD	CTD	max depth/on ground			SLmax = 250m	started	12° 58.033' N	057° 14.759' W	4660	1	62.2	87.0	11.3	02	250
M161_141-1	2020/02/07 07:52:07	CTD	CTD	on deck				started	12° 58.032' N	057° 14.762' W	4658	1	64.3	88.0	10.3	02	0
M161_142-1	2020/02/07 11:31:43	CTD	CTD	in the water			W2. clean ship	started	12° 26.151' N	057° 14.787' W	4494	2	327.3	78.0	13.0	02	0
M161_142-1	2020/02/07 12:07:10	CTD	CTD	max depth/on ground			SLmax = 1737m	started	12° 26.154' N	057° 14.789' W	4494	2	339.8	73.0	11.4	02	1736
M161_142-1	2020/02/07 12:38:31	CTD	CTD	on deck			Demontage PAR-Sensor	started	12° 26.154' N	057° 14.787' W	4493	0	243.7	60.0	12.3	02	0
M161_142-1	2020/02/07 13:03:56	CTD	CTD	in the water				started	12° 26.153' N	057° 14.788' W	4494	1	160.6	64.0	11.9	02	0
M161_142-1	2020/02/07 14:31:09	CTD	CTD	max depth/on ground			SLmax = 4485m	started	12° 26.152' N	057° 14.788' W	4493	1	226.2	72.0	9.7	02	4485
M161_142-1	2020/02/07 16:32:52	CTD	CTD	on deck				started	12° 26.160' N	057° 14.793' W	4494	0	352.4	64.0	11.8	02	0
M161_143-1	2020/02/07 20:06:17	CTD	CTD	in the water			W2, clean ship	started	12° 07.526' N	057° 14.805' W	4472	1	156.9	74.0	10.9	02	0
M161_143-1	2020/02/07 20:24:13	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 07.524' N	057° 14.801' W	4473	2	232.4	66.0	10.9	02	800
M161_143-1	2020/02/07 20:41:17	CTD	CTD	on deck				started	12° 07.525' N	057° 14.802' W	4471	1	101.6	65.0	10.3	02	0
M161_144-1	2020/02/07 23:24:51	CTD	CTD	in the water			W2, clean ship	started	12° 25.120' N	057° 14.701' W	4494	1	146.5	66.0	11.0	02	0
M161_144-1	2020/02/07 23:42:07	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.122' N	057° 14.701' W	4493	3	204.7	76.0	11.1	02	800
M161_144-1	2020/02/07 23:58:55	CTD	CTD	on deck				started	12° 25.121' N	057° 14.700' W	4491	1	315.3	71.0	10.4	02	0
M161_145-1	2020/02/08 02:30:26	CTD	CTD	in the water			W2, clean ship	started	12° 25.122' N	057° 14.699' W	4492	1	59.8	53.0	11.6	02	0
M161_145-1	2020/02/08 02:47:23	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.123' N	057° 14.701' W	4492	1	295.1	58.0	8.2	02	800
M161_145-1	2020/02/08 03:03:01	CTD	CTD	on deck				started	12° 25.123' N	057° 14.699' W	4492	0	309.8	70.0	8.5	02	0
M161_146-1	2020/02/08 04:56:28	CTD	CTD	in the water			W2, clean ship	started	12° 25.122' N	057° 14.699' W	4493	0	309.4	48.0	10.9	02	0
M161_146-1	2020/02/08 05:14:59	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.123' N	057° 14.701' W	4494	1	30.2	45.0	11.4	02	800
M161_146-1	2020/02/08 05:33:50	CTD	CTD	on deck				started	12° 25.122' N	057° 14.699' W	4493	1	133.7	42.0	10.3	02	0
M161_147-1	2020/02/08 06:50:07	CTD	CTD	in the water			W2, clean ship	started	12° 25.123' N	057° 14.700' W	4495	1	180.3	40.0	10.9	02	0
M161_147-1	2020/02/08 07:08:11	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.123' N	057° 14.701' W	4493	1	104.0	47.0	12.3	02	799
M161_147-1	2020/02/08 07:26:30	CTD	CTD	on deck				started	12° 25.121' N	057° 14.698' W	4494	0	196.7	37.0	11.6	02	0
M161_148-1	2020/02/08 08:41:24	CTD	CTD	in the water			 W2, clean ship	started	12° 25.123' N	057° 14.699' W	4494	1	37.4	52.0	11.9	02	0
M161_148-1	2020/02/08 09:00:55	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.124' N	057° 14.699' W	4493	1	36.0	80.0	11.7	02	799
M161_148-1	2020/02/08 09:18:38	CTD	CTD	on deck				started	12° 25.157' N	057° 14.713' W	4494	0	257.1	89.0	15.2	02	0
M161_149-1	2020/02/08 20:29:07	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.701' W	4493	1	147.7	86.0	9.9	02	0
M161_149-1	2020/02/08 20:46:50	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.129' N	057° 14.701' W	4492	1	352.0	98.0	9.5	02	800
M161_149-1	2020/02/08 21:04:27	CTD	CTD	on deck				started	12° 25.129' N	057° 14.701' W	4494	0	40.6	77.0	9.2	02	0
M161_150-1	2020/02/08 22:28:12	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.700' W	4492	1	223.2	85.0	10.5	02	0
M161_150-1	2020/02/08 22:45:47	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.127' N	057° 14.702' W	4494	0	355.3	81.0	10.3	02	800
M161_150-1	2020/02/08 23:02:16	CTD	CTD	on deck				started	12° 25.127' N	057° 14.702' W	4493	1	143.9	79.0	10.9	02	0
M161_151-1	2020/02/09 00:33:02	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.702' W	4494	1	255.3	87.0	10.2	02	0
M161_151-1	2020/02/09 00:49:19	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.127' N	057° 14.703' W	4492	0	119.5	88.0	9.9	02	800
M161_151-1	2020/02/09 01:04:51	CTD	CTD	on deck				started	12° 25.128' N	057° 14.701' W	4493	1	87.1	91.0	10.3	02	0
M161_152-1	2020/02/09 02:34:12	CTD	CTD	in the water			W2, clean ship	started	12° 25.127' N	057° 14.701' W	4492	1	321.0	94.0	10.7	02	0
M161_152-1	2020/02/09 02:49:46	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.125' N	057° 14.702' W	4492	0	317.8	86.0	10.4	02	800
M161_152-1	2020/02/09 03:04:10	CTD	CTD	on deck				started	12° 25.127' N	057° 14.702' W	4493	2	17.6	85.0	10.2	02	0
M161_153-1	2020/02/09 04:36:52	CTD	CTD	in the water			W2, clean ship	started	12° 25.127' N	057° 14.702' W	4493	1	122.9	85.0	11.3	02	0
M161_153-1	2020/02/09 04:54:37	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.129' N	057° 14.701' W	4493	0	284.0	88.0	9.9	02	800
M161_153-1	2020/02/09 05:12:18	CTD	CTD	on deck				started	12° 25.127' N	057° 14.701' W	4495	1	117.0	86.0	10.7	02	0
M161_154-1	2020/02/09 06:29:50	CTD	CTD	in the water			W2, clean ship	started	12° 25.127' N	057° 14.702' W	4495	1	339.3	83.0	10.2	02	0
M161_154-1	2020/02/09 06:48:00	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.126' N	057° 14.702' W	4495	1	198.9	75.0	12.2	02	800
M161_154-1	2020/02/09 07:06:59	CTD	CTD	on deck				started	12° 25.127' N	057° 14.702' W	4494	0	65.2	78.0	11.0	02	0
M161_155-1	2020/02/09 08:27:48	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.702' W	4494	1	273.7	79.0	11.4	02	0
M161_155-1	2020/02/09 08:46:17	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.130' N	057° 14.702' W	4494	0	347.3	85.0	12.0	02	800
M161_155-1	2020/02/09 09:03:05	CTD	CTD	on deck				started	12° 25.128' N	057° 14.702' W	4494	1	162.9	85.0	10.8	02	0
M161_156-1	2020/02/09 10:28:25	CTD	CTD	in the water			W2, clean ship	started	12° 25.127' N	057° 14.702' W	4493	0	331.7	84.0	11.3	02	0
M161_156-1	2020/02/09 10:46:36	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.128' N	057° 14.702' W	4494	1	60.7	84.0	11.8	02	799
M161_156-1	2020/02/09 11:04:09	CTD	CTD	on deck				started	12° 25.128' N	057° 14.702' W	4494	1	16.6	90.0	10.0	02	0
M161_157-1	2020/02/09 12:32:09	CTD	CTD	in the water			W2, clean ship	started	12° 25.128' N	057° 14.700' W	4493	1	98.1	85.0	10.1	02	0
M161_157-1	2020/02/09 12:49:55	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.128' N	057° 14.702' W	4492	1	352.9	79.0	10.4	02	800
M161_157-1	2020/02/09 13:05:23	CTD	CTD	on deck				started	12° 25.127' N	057° 14.702' W	4492	1	80.7	84.0	11.8	02	0
M161_158-1	2020/02/09 14:30:55	CTD	CTD	in the water			W2, clean ship	started	12° 25.126' N	057° 14.702' W	4493	1	38.4	81.0	12.1	02	0
M161_158-1	2020/02/09 14:47:37	CTD	CTD	max depth/on ground			SLmax = 800m	started	12° 25.127' N	057° 14.701' W	4492	1	50.9	76.0	11.5	02	800
M161_158-1	2020/02/09 15:02:37	CTD	CTD	on deck				started	12° 25.128' N	057° 14.702' W	4494	1	296.6	0.0	0.0	02	0
M161_159-1	2020/02/09 16:35:38	CTD	CTD	in the water			W2, clean ship	started	12° 25.129' N	057° 14.700' W	4494	1	72.7	71.0	9.6	02	1
