Campaign	Station - Device Operation	Device Types	Device Types Code	Device	Device Code	Date/Time (Start)	Action (Start)	 (Start)	 (Start)	Depth (m) (Start)	Comment (Start)	Date/Time (End)	Action (End)	 (End)	 (End)	Depth (m) (End)	Comment (End)	Date/Time station start	 station start	 station start	Depth (m) station start	Comment station start	Date/Time profile start	 profile start	 profile start	Depth (m) profile start	Comment profile start	Date/Time max depth/on ground	 max depth/on ground	 max depth/on ground	Depth (m) max depth/on ground	Comment max depth/on ground	Date/Time station end	 station end	 station end	Depth (m) station end	Comment station end	Date/Time profile end	 profile end	 profile end	Depth (m) profile end	Comment profile end	Comment (Station)	Comment (Device Operation)
M161	M161_13-1	Altimeter,Methane Sensor,Oxygen Sensor,Positioning System,Fluorometer,Water Sampler,Conductivity-Temperature-Depth Sensors	ALTI,METHAN,O2,POS,FLU,WS,CTD	CTD	CTD	2020/01/21 18:31:13	in the water			5313	W2, clean ship	2020/01/21 19:08:08	on deck			5287												2020/01/21 18:51:28			5289	SLmax = 800m												
M161	M161_14-1	Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Water Sampler,Positioning System,Altimeter,Methane Sensor	O2,FLU,CTD,WS,POS,ALTI,METHAN	CTD	CTD	2020/01/21 21:28:41	in the water			5171	W2, clean ship	2020/01/21 22:04:43	on deck			5175												2020/01/21 21:47:15			5170	SLmax = 800m												
M161	M161_15-1	Conductivity-Temperature-Depth Sensors,Positioning System,Water Sampler,Altimeter,Fluorometer,Methane Sensor,Oxygen Sensor	CTD,POS,WS,ALTI,FLU,METHAN,O2	CTD	CTD	2020/01/22 00:35:55	in the water			5122	W2, clean ship	2020/01/22 01:12:55	on deck			5124												2020/01/22 00:54:57			5133	SLmax = 800m												
M161	M161_16-1	Positioning System,Fluorometer,Water Sampler,Altimeter,Oxygen Sensor,Methane Sensor,Conductivity-Temperature-Depth Sensors	POS,FLU,WS,ALTI,O2,METHAN,CTD	CTD	CTD	2020/01/22 03:43:01	in the water			5164	W2, clean ship	2020/01/22 04:18:44	on deck			5165												2020/01/22 04:01:31			5181	SLmax = 800m												
M161	M161_17-1	Fluorometer,Oxygen Sensor,Altimeter,Methane Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler,Positioning System	FLU,O2,ALTI,METHAN,CTD,WS,POS	CTD	CTD	2020/01/22 07:35:30	in the water			5505	W2, clean ship	2020/01/22 08:10:54	on deck			5511												2020/01/22 07:53:38			5504	SLmax = 800m												
M161	M161_18-1	Positioning System,Conductivity-Temperature-Depth Sensors,Altimeter,Methane Sensor,Water Sampler,Oxygen Sensor,Fluorometer	POS,CTD,ALTI,METHAN,WS,O2,FLU	CTD	CTD	2020/01/22 10:17:12	in the water			5173	W2, clean ship	2020/01/22 11:09:56	on deck			5175												2020/01/22 10:40:13			5170	SLmax = 1000m												
M161	M161_19-1	Oxygen Sensor,Altimeter,Methane Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Water Sampler,Fluorometer	O2,ALTI,METHAN,POS,CTD,WS,FLU	CTD	CTD	2020/01/22 14:04:15	in the water			5173	W2, clean ship	2020/01/22 14:41:41	on deck			5172												2020/01/22 14:23:56			5207	SLmax = 800m												
M161	M161_20-1	Fluorometer,Oxygen Sensor,Methane Sensor,Positioning System,Water Sampler,Conductivity-Temperature-Depth Sensors,Altimeter	FLU,O2,METHAN,POS,WS,CTD,ALTI	CTD	CTD	2020/01/22 16:09:33	in the water			5173	W2, clean ship	2020/01/22 16:46:16	on deck			5174												2020/01/22 16:27:55			5176	SLmax = 800m												
M161	M161_21-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler,Altimeter,Oxygen Sensor,Positioning System,Fluorometer	METHAN,CTD,WS,ALTI,O2,POS,FLU	CTD	CTD	2020/01/22 18:03:30	in the water			5174	W2, clean ship	2020/01/22 18:42:05	on deck			5172												2020/01/22 18:22:25			5172	SLmax = 800m												
M161	M161_22-1	Positioning System,Fluorometer,Water Sampler,Oxygen Sensor,Methane Sensor,Altimeter,Conductivity-Temperature-Depth Sensors	POS,FLU,WS,O2,METHAN,ALTI,CTD	CTD	CTD	2020/01/22 19:59:53	in the water			5175	W2, clean ship	2020/01/22 20:35:05	on deck			5173												2020/01/22 20:17:48			5174	SLmax = 800m												
M161	M161_23-1	Oxygen Sensor,Positioning System,Altimeter,Fluorometer,Water Sampler,Methane Sensor,Conductivity-Temperature-Depth Sensors	O2,POS,ALTI,FLU,WS,METHAN,CTD	CTD	CTD	2020/01/22 22:03:07	in the water			5176	W2, clean ship	2020/01/22 22:46:10	on deck			5171												2020/01/22 22:25:20			5170	SLmax =1000m												
M161	M161_24-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Positioning System,Altimeter,Fluorometer,Water Sampler	METHAN,CTD,O2,POS,ALTI,FLU,WS	CTD	CTD	2020/01/23 00:00:09	in the water			5170	W2, clean ship	2020/01/23 00:36:40	on deck			5170												2020/01/23 00:20:12			5178	SLmax = 800m												
M161	M161_25-1	Altimeter,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Methane Sensor,Water Sampler,Positioning System,Fluorometer	ALTI,CTD,O2,METHAN,WS,POS,FLU	CTD	CTD	2020/01/23 02:00:53	in the water			5171	W2, clean ship	2020/01/23 02:31:33	on deck			5170												2020/01/23 02:16:53			5170	SLmax = 800m												
M161	M161_26-1	Water Sampler,Methane Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Fluorometer,Altimeter	WS,METHAN,POS,CTD,O2,FLU,ALTI	CTD	CTD	2020/01/23 04:01:44	in the water			5173	W2, clean ship	2020/01/23 04:38:34	on deck			5171												2020/01/23 04:20:21			5173	SLmax = 800m												
M161	M161_27-1	Positioning System,Conductivity-Temperature-Depth Sensors,Altimeter,Methane Sensor,Fluorometer,Oxygen Sensor,Water Sampler	POS,CTD,ALTI,METHAN,FLU,O2,WS	CTD	CTD	2020/01/23 06:01:23	in the water			5201	W2, clean ship	2020/01/23 06:37:42	on deck			5173												2020/01/23 06:19:29			5178	SLmax = 800m												
M161	M161_28-1	Oxygen Sensor,Positioning System,Water Sampler,Conductivity-Temperature-Depth Sensors,Altimeter,Methane Sensor,Fluorometer	O2,POS,WS,CTD,ALTI,METHAN,FLU	CTD	CTD	2020/01/23 07:59:54	in the water			5173	W2, clean ship	2020/01/23 08:35:42	on deck			5175												2020/01/23 08:18:55			5172	SLmax = 800m												
M161	M161_29-1	Altimeter,Oxygen Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Positioning System,Fluorometer,Methane Sensor	ALTI,O2,WS,CTD,POS,FLU,METHAN	CTD	CTD	2020/01/23 10:00:01	in the water			5174	W2, clean ship	2020/01/23 10:56:21	on deck			5171												2020/01/23 10:22:17			5172	SLmax = 1000m												
M161	M161_30-1	Glider	GLD	Glider	GLIDER	2020/01/23 14:19:35	in the water			5172		2020/01/23 14:19:35	in the water			5172																												
M161	M161_31-1	Glider	GLD	Glider	GLIDER	2020/01/23 14:56:14	in the water			5171		2020/01/23 14:56:14	in the water			5171																												
M161	M161_32-1	Oxygen Sensor,Altimeter,Methane Sensor,Water Sampler,Fluorometer,Conductivity-Temperature-Depth Sensors,Positioning System	O2,ALTI,METHAN,WS,FLU,CTD,POS	CTD	CTD	2020/01/23 15:11:45	in the water			5171	W2, clean ship	2020/01/23 15:35:47	on deck			5173												2020/01/23 15:24:19			5170	SLmax = 500m												
M161	M161_33-1	Fluorometer,Conductivity-Temperature-Depth Sensors,Methane Sensor,Altimeter,Oxygen Sensor,Water Sampler,Positioning System	FLU,CTD,METHAN,ALTI,O2,WS,POS	CTD	CTD	2020/01/23 17:34:38	in the water			5099	W2, clean ship	2020/01/23 18:03:56	on deck			5100												2020/01/23 17:47:40			5100	SLmax = 500m												
M161	M161_34-1	Altimeter,Oxygen Sensor,Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Positioning System,Water Sampler	ALTI,O2,METHAN,CTD,FLU,POS,WS	CTD	CTD	2020/01/23 19:37:15	in the water			5252	W2, clean ship	2020/01/23 20:04:01	on deck			5251												2020/01/23 19:51:16			5249	SLmax = 500m												
M161	M161_35-1	Altimeter,Positioning System,Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Water Sampler,Methane Sensor	ALTI,POS,O2,FLU,CTD,WS,METHAN	CTD	CTD	2020/01/23 22:18:40	in the water			5321	W2, clean ship	2020/01/23 22:43:05	on deck			5331												2020/01/23 22:31:16			5322	SLmax = 500m												
